"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 10 15:23:25 GMT 2024","Mon Jun 10 15:23:26 GMT 2024","504","","API tests","","ApiTRTests","ApiGetMilestone","ApiGetMilestone","Check Milestone for existing project"
"broken","Mon Jun 10 15:24:27 GMT 2024","Mon Jun 10 15:25:27 GMT 2024","60087","","UI tests","","TestRailTests","DeleteTestProject","DeleteTestProject","Delete existing project"
"broken","Mon Jun 10 15:25:27 GMT 2024","Mon Jun 10 15:26:27 GMT 2024","60086","","UI tests","","TestRailTests","FailingTest","FailingTest","Login failing test to shown attachments in Allure report"
"passed","Mon Jun 10 15:23:25 GMT 2024","Mon Jun 10 15:23:25 GMT 2024","428","","API tests","","ApiTRTests","ApiGetCreatedProject","ApiGetCreatedProject","Check data for created project"
"passed","Mon Jun 10 15:23:24 GMT 2024","Mon Jun 10 15:23:25 GMT 2024","867","","API tests","","ApiTRTests","ApiDeleteMilestone","ApiDeleteMilestone","Delete Milestone for existing project"
"passed","Mon Jun 10 15:23:22 GMT 2024","Mon Jun 10 15:23:23 GMT 2024","784","","API tests","","ApiTRTests","ApiAddMilestone","ApiAddMilestone","Add new Milestone to existing project"
"broken","Mon Jun 10 15:23:26 GMT 2024","Mon Jun 10 15:24:27 GMT 2024","60880","","UI tests","","TestRailTests","CreateTestProject","CreateTestProject","Create new project"
"passed","Mon Jun 10 15:23:23 GMT 2024","Mon Jun 10 15:23:24 GMT 2024","792","","API tests","","ApiTRTests","ApiCreateProject","ApiCreateProject","Create new project"
