"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 10 15:28:08 GMT 2024","Mon Jun 10 15:28:08 GMT 2024","636","","API tests","","ApiTRTests","ApiAddMilestone","ApiAddMilestone","Add new Milestone to existing project"
"passed","Mon Jun 10 15:28:46 GMT 2024","Mon Jun 10 15:28:48 GMT 2024","2531","","UI tests","","TestRailTests","UploadAttachmentToMilestone","UploadAttachmentToMilestone","Upload attachement to Milestone"
"failed","Mon Jun 10 15:28:43 GMT 2024","Mon Jun 10 15:28:45 GMT 2024","1909","","UI tests","","TestRailTests","FailingTest","FailingTest","Login failing test to shown attachments in Allure report"
"passed","Mon Jun 10 15:28:45 GMT 2024","Mon Jun 10 15:28:46 GMT 2024","1323","","UI tests","","TestRailTests","LoginWithInvalidCredentials","LoginWithInvalidCredentials","Login with invalid credentials and check error message"
"passed","Mon Jun 10 15:28:09 GMT 2024","Mon Jun 10 15:28:09 GMT 2024","327","","API tests","","ApiTRTests","ApiGetCreatedProject","ApiGetCreatedProject","Check data for created project"
"passed","Mon Jun 10 15:28:09 GMT 2024","Mon Jun 10 15:28:09 GMT 2024","606","","API tests","","ApiTRTests","ApiDeleteMilestone","ApiDeleteMilestone","Delete Milestone for existing project"
"passed","Mon Jun 10 15:28:08 GMT 2024","Mon Jun 10 15:28:09 GMT 2024","242","","API tests","","ApiTRTests","ApiCreateProject","ApiCreateProject","Create new project"
"passed","Mon Jun 10 15:28:10 GMT 2024","Mon Jun 10 15:28:19 GMT 2024","9540","","UI tests","","TestRailTests","CreateTestProject","CreateTestProject","Create new project"
"passed","Mon Jun 10 15:28:19 GMT 2024","Mon Jun 10 15:28:43 GMT 2024","23308","","UI tests","","TestRailTests","DeleteTestProject","DeleteTestProject","Delete existing project"
"passed","Mon Jun 10 15:28:09 GMT 2024","Mon Jun 10 15:28:10 GMT 2024","366","","API tests","","ApiTRTests","ApiGetMilestone","ApiGetMilestone","Check Milestone for existing project"
